match_id,round,home_team,away_team,fact_score,fact_result,red_cards,notes,date,version
1,1,ЦСКА,Балтика,2:1,P1,0,ЦСКА выиграл несмотря на ожидание ничьей,2026-07-29,FAJ_9.0
2,1,Динамо М,Крылья Советов,0:0,X,0,Переоценена атакующая сила Динамо,2026-07-29,FAJ_9.0
3,1,Акрон,Зенит,0:5,P2,0,Зенит реализовал преимущество сильнее ожидаемого,2026-07-29,FAJ_9.0
4,1,Факел,Динамо Мх,1:2,P2,0,Динамо Мх превзошло ожидания,2026-07-29,FAJ_9.0
5,1,Спартак,Родина,3:0,P1,0,Фаворит подтверждён,2026-07-29,FAJ_9.0
6,1,Оренбург,Ростов,2:1,P1,1,Оренбург победил после игры в меньшинстве с 49 минуты,2026-07-29,FAJ_9.0
7,1,Локомотив,Ахмат,1:1,X,0,Ожидаемая победа Локомотива не состоялась,2026-07-29,FAJ_9.0
8,1,Рубин,Краснодар,1:3,P2,1,Рубин играл в меньшинстве с 18 минуты,2026-07-29,FAJ_9.0
